row_id,player,year,position,school,height,weight,forty,vertical,bench,shuttle,pick_number
1,John Abraham,2000,OLB,South Carolina,76,252,4.55,,,,13.0
2,Shaun Alexander,2000,RB,Alabama,72,218,4.58,,,,19.0
3,Darnell Alford,2000,OT,Boston Col.,76,334,5.56,25.0,23.0,4.98,188.0
4,Kyle Allamon,2000,TE,Texas Tech,74,253,4.97,29.0,,4.49,
5,Rashard Anderson,2000,CB,Jackson St.,74,206,4.55,34.0,,4.15,23.0
6,Jake Arians,2000,K,Ala-Birmingham,70,202,,,,,
7,LaVar Arrington,2000,OLB,Penn St.,75,250,4.53,,,,2.0
8,Corey Atkins,2000,OLB,South Carolina,72,237,4.72,31.0,21.0,4.39,
9,Kyle Atteberry,2000,K,Baylor,72,167,,,,,
10,Reggie Austin,2000,CB,Wake Forest,69,175,4.44,35.0,17.0,4.14,125.0
11,John Baker,2000,P,North Texas,75,227,,,,,
12,Mark Baniewicz,2000,OT,Syracuse,78,312,5.34,28.0,20.0,4.73,247.0
13,Rashidi Barnes,2000,FS,Colorado,72,208,4.62,35.0,10.0,4.32,225.0
14,David Barrett,2000,CB,Arkansas,70,199,4.44,37.5,16.0,4.04,102.0
15,William Bartee,2000,CB,Oklahoma,73,192,4.43,38.5,,3.99,54.0
16,Andrew Bayes,2000,P,East Carolina,74,200,,,,,
17,Terrance Beadles,2000,OG,Ark-Pine Bluff,75,312,5.19,,29.0,,
18,Robert Bean,2000,CB,Mississippi St.,71,178,4.5,34.5,,4.2,133.0
19,Anthony Becht,2000,TE,West Virginia,78,270,4.78,33.5,,4.08,27.0
20,Matt Beck,2000,ILB,California,75,234,4.65,,,,
21,Rogers Beckett,2000,FS,Marshall,73,207,4.62,39.5,15.0,4.29,43.0
22,Brad Bedell,2000,OG,Colorado,76,302,5.07,31.5,17.0,4.58,206.0
23,Marcus Bell,2000,ILB,Arizona,74,237,4.78,31.5,21.0,4.33,116.0
24,Gary Berry,2000,FS,Ohio St.,71,204,4.55,,,,126.0
25,Michael Boireau,2000,DE,Miami (FL),76,274,5.09,29.0,26.0,4.49,56.0
