row_id,player,year,position,school,height,weight,forty,vertical,bench,shuttle,pick_number
1,John Abraham,2000,OLB,South Carolina,76.0,252,4.55,,,,13.0
2,Shaun Alexander,2000,RB,Alabama,72.0,218,4.58,,,,19.0
3,Darnell Alford,2000,OT,Boston Col.,76.0,334,5.56,25.0,23.0,4.98,188.0
5,Rashard Anderson,2000,CB,Jackson St.,74.0,206,4.55,34.0,,4.15,23.0
7,LaVar Arrington,2000,OLB,Penn St.,75.0,250,4.53,,,,2.0
10,Reggie Austin,2000,CB,Wake Forest,69.0,175,4.44,35.0,17.0,4.14,125.0
12,Mark Baniewicz,2000,OT,Syracuse,78.0,312,5.34,28.0,20.0,4.73,247.0
13,Rashidi Barnes,2000,FS,Colorado,72.0,208,4.62,35.0,10.0,4.32,225.0
14,David Barrett,2000,CB,Arkansas,70.0,199,4.44,37.5,16.0,4.04,102.0
15,William Bartee,2000,CB,Oklahoma,73.0,192,4.43,38.5,,3.99,54.0
18,Robert Bean,2000,CB,Mississippi St.,71.0,178,4.5,34.5,,4.2,133.0
19,Anthony Becht,2000,TE,West Virginia,78.0,270,4.78,33.5,,4.08,27.0
21,Rogers Beckett,2000,FS,Marshall,73.0,207,4.62,39.5,15.0,4.29,43.0
22,Brad Bedell,2000,OG,Colorado,76.0,302,5.07,31.5,17.0,4.58,206.0
23,Marcus Bell,2000,ILB,Arizona,74.0,237,4.78,31.5,21.0,4.33,116.0
24,Gary Berry,2000,FS,Ohio St.,71.0,204,4.55,,,,126.0
25,Michael Boireau,2000,DE,Miami (FL),76.0,274,5.09,29.0,26.0,4.49,56.0
26,Matt Bowen,2000,SS,Iowa,73.0,201,4.49,33.0,12.0,4.09,198.0
28,Tom Brady,2000,QB,Michigan,76.0,211,5.28,24.5,,4.38,199.0
31,Ralph Brown,2000,CB,Nebraska,70.0,185,4.55,,10.0,,140.0
32,Mike Brown,2000,SS,Nebraska,70.0,204,4.59,36.0,14.0,4.01,39.0
35,Courtney Brown,2000,DE,Penn St.,77.0,269,4.78,,,,1.0
37,Marc Bulger,2000,QB,West Virginia,74.0,208,4.97,,,4.34,168.0
38,Keith Bulluck,2000,OLB,Syracuse,75.0,244,4.47,38.0,,4.13,30.0
40,Plaxico Burress,2000,WR,Michigan St.,77.0,231,4.59,33.0,,,8.0
42,Trung Canidate,2000,RB,Arizona,71.0,193,4.41,,18.0,,31.0
43,Cooper Carlisle,2000,OG,Florida,77.0,297,5.16,31.0,28.0,4.48,112.0
44,Giovanni Carmazzi,2000,QB,Hofstra,75.0,224,4.74,36.5,,4.23,65.0
45,Leonardo Carson,2000,DE,Auburn,73.0,283,5.06,28.0,22.0,4.75,113.0
46,Tyrone Carter,2000,SS,Minnesota,68.0,190,4.5,41.0,16.0,4.19,118.0
49,Doug Chapman,2000,RB,Marshall,70.0,215,4.56,38.5,16.0,4.2,88.0
50,Ike Charlton,2000,CB,Virginia Tech,71.0,205,4.47,,16.0,,52.0
52,Joey Chustz,2000,OT,Louisiana Tech,79.0,304,5.08,31.0,28.0,4.65,123.0
