,id,name,contract_years,total_value,gtd_start,gtd_total,year,position,height,weight,forty,vertical,bench,broad_jump,three_cone,shuttle,pick_number
0,11,Nelson Agholor,4,9377374,8520507,8520507,2015,WR,72,198,4.42000000,,12.0,,,,20.0
1,10,Arik Armstead,4,9842630,9842630,9842630,2015,DE,79,292,5.06000000,34.00000000,24.0,117.0,7.57000000,4.53000000,17.0
2,6,Vic Beasley,4,14495228,14495228,14495228,2015,OLB,75,246,4.53000000,41.00000000,35.0,130.0,6.91000000,4.15000000,8.0
3,3,Amari Cooper,4,22663116,22663116,22663116,2015,WR,73,211,4.42000000,33.00000000,,120.0,6.71000000,3.98000000,4.0
4,9,Melvin Gordon,4,10669773,10669773,10669773,2015,RB,73,215,4.52000000,35.00000000,19.0,126.0,7.04000000,4.07000000,15.0
5,13,D.J. Humphries,4,8912112,7261824,7261824,2015,OT,77,307,5.12000000,31.00000000,26.0,104.0,7.87000000,4.64000000,24.0
6,14,Byron Jones,4,8601941,6993950,6993950,2015,CB,73,199,4.43000000,44.50000000,,147.0,6.78000000,3.94000000,27.0
7,2,Marcus Mariota,4,24213974,24213974,24213974,2015,QB,76,222,4.52000000,36.00000000,,121.0,6.87000000,4.11000000,2.0
8,8,Andrus Peat,4,11393496,11393496,11393496,2015,OT,79,313,5.18000000,31.00000000,,105.0,8.01000000,4.62000000,13.0
9,15,Damarious Randall,4,7915734,5966315,5966315,2015,FS,71,196,4.46000000,38.00000000,14.0,120.0,6.83000000,4.07000000,30.0
10,4,Brandon Scherff,4,21215638,21215638,21215638,2015,OT,77,319,5.05000000,,23.0,,,,5.0
11,7,Trae Waynes,4,12944368,12944368,12944368,2015,CB,72,186,4.31000000,38.00000000,19.0,122.0,7.06000000,4.39000000,11.0
12,5,Leonard Williams,4,18630866,18630866,18630866,2015,DT,77,302,4.97000000,29.50000000,,106.0,7.59000000,4.53000000,6.0
13,1,Jameis Winston,4,25351277,25351277,25351277,2015,QB,76,231,4.97000000,28.50000000,,103.0,7.16000000,4.36000000,1.0
14,48,Mackensie Alexander,4,4316304,1985326,1985326,2016,CB,70,190,4.43000000,,11.0,,,,54.0
15,22,Eli Apple,4,15152320,15152320,15152320,2016,CB,73,199,4.40000000,,13.0,,,,10.0
16,50,Vonn Bell,4,3972299,1088945,1088945,2016,FS,71,199,4.52000000,,16.0,,,,61.0
17,83,Andrew Billings,4,2875845,535845,535845,2016,DT,73,311,5.05000000,27.50000000,31.0,113.0,8.05000000,4.82000000,122.0
18,93,Ronald Blair,4,2610405,270405,270405,2016,DE,74,284,5.15000000,30.00000000,32.0,113.0,7.95000000,4.53000000,142.0
19,122,Austin Blythe,4,2401989,61989,61989,2016,C,74,298,5.36000000,27.50000000,29.0,99.0,7.52000000,4.53000000,248.0
20,91,Devontae Booker,4,2723393,383393,383393,2016,RB,71,219,4.56000000,,22.0,,,,136.0
21,16,Joey Bosa,4,25873685,25873685,25873685,2016,DE,77,269,4.86000000,32.00000000,24.0,120.0,6.89000000,4.21000000,3.0
22,51,James Bradberry,4,3960836,1710646,1710646,2016,CB,73,211,4.50000000,36.00000000,16.0,124.0,6.91000000,4.21000000,62.0
23,102,Kentrell Brothers,4,2572681,232681,232681,2016,OLB,72,245,4.89000000,28.50000000,19.0,110.0,6.99000000,4.11000000,160.0
24,108,Anthony Brown,4,2474947,134947,134947,2016,CB,71,192,4.33000000,35.00000000,19.0,115.0,7.03000000,4.19000000,189.0
25,19,DeForest Buckner,4,18190995,18190995,18190995,2016,DE,79,291,5.05000000,32.00000000,,116.0,7.51000000,4.47000000,7.0
26,56,Jonathan Bullard,4,3413520,826520,826520,2016,DE,75,285,4.93000000,32.00000000,23.0,116.0,7.31000000,4.56000000,72.0
27,34,Artie Burns,4,9590981,7383120,7383120,2016,CB,72,193,4.46000000,31.50000000,,,,,25.0
28,85,Deon Bush,4,2866218,526218,526218,2016,FS,72,199,4.64000000,36.00000000,17.0,123.0,,,124.0
29,36,Vernon Butler,4,8396514,7946514,7946514,2016,DT,76,323,5.33000000,29.50000000,26.0,104.0,7.82000000,4.76000000,30.0
30,80,De'Vondre Campbell,4,2905528,565528,565528,2016,OLB,76,232,4.58000000,34.00000000,16.0,116.0,,,115.0
31,61,Le'Raven Clark,4,3142732,733732,733732,2016,OT,77,316,5.16000000,,18.0,,,,82.0
32,35,Kenny Clark,4,9361646,7185058,7185058,2016,DT,75,314,5.06000000,28.50000000,29.0,102.0,,4.62000000,27.0
33,58,Shon Coleman,4,3278816,787536,787536,2016,OT,77,307,5.18000000,,22.0,,,,76.0
34,54,Maliek Collins,4,3550180,881152,881152,2016,DT,74,311,5.03000000,29.50000000,25.0,109.0,7.53000000,4.52000000,67.0
35,20,Jack Conklin,4,15897658,15447658,15447658,2016,OT,78,308,5.00000000,30.00000000,25.0,103.0,7.63000000,4.57000000,8.0
36,111,Cody Core,4,2467932,127932,127932,2016,WR,75,205,4.47000000,31.50000000,14.0,119.0,,,199.0
37,42,Kamalei Correa,4,5749639,3092902,3092902,2016,DE,75,243,4.69000000,33.00000000,21.0,108.0,,,42.0
38,49,Sean Davis,4,4086970,1808113,1808113,2016,CB,73,201,4.46000000,37.50000000,21.0,126.0,6.64000000,3.97000000,58.0
39,74,Sheldon Day,4,2948410,608410,608410,2016,DT,73,293,5.07000000,30.00000000,21.0,102.0,7.44000000,4.50000000,103.0
40,27,Taylor Decker,4,10966980,10966980,10966980,2016,OT,79,310,5.23000000,29.00000000,20.0,101.0,7.70000000,4.76000000,16.0
41,57,Kenyan Drake,4,3381260,821260,821260,2016,RB,73,210,4.45000000,34.50000000,10.0,123.0,7.04000000,4.21000000,73.0
42,118,Lachlan Edwards,4,2415795,75795,75795,2016,P,76,209,4.98000000,,,,,,
43,62,Kyler Fackrell,4,3134328,694048,694048,2016,OLB,77,245,4.72000000,34.50000000,15.0,121.0,,,88.0
44,21,Leonard Floyd,4,15782861,15332861,15332861,2016,OLB,78,244,4.60000000,39.50000000,,127.0,,,9.0
45,114,Kavon Frazier,4,2440356,100356,100356,2016,FS,72,217,4.53000000,,18.0,,,,212.0
46,64,Kendall Fuller,4,3123424,718424,718424,2016,CB,71,187,4.48000000,,15.0,,,,84.0
47,32,Will Fuller,4,10164313,9409270,9409270,2016,WR,72,186,4.32000000,33.50000000,10.0,126.0,6.93000000,4.27000000,21.0
48,71,Graham Glasgow,4,3037920,645420,645420,2016,C,78,307,5.13000000,25.00000000,23.0,106.0,7.63000000,4.63000000,95.0
49,77,B.J. Goodson,4,2922207,582207,582207,2016,OLB,73,242,4.69000000,34.50000000,30.0,118.0,7.05000000,4.51000000,109.0
50,52,Adam Gotsis,4,3937904,2012926,2012926,2016,DT,76,287,4.88000000,,,,,,63.0
51,99,Joe Haeg,4,2582410,242410,242410,2016,OT,78,304,5.16000000,27.50000000,,111.0,7.47000000,4.47000000,155.0
52,65,Javon Hargrave,4,3114256,693256,693256,2016,DT,73,309,4.93000000,34.50000000,29.0,109.0,7.90000000,4.70000000,89.0
53,84,Jerald Hawkins,4,2870488,530488,530488,2016,OT,78,305,5.23000000,23.50000000,23.0,100.0,8.19000000,4.89000000,123.0
54,39,Hunter Henry,4,6380307,3981034,3981034,2016,TE,77,250,4.79000000,,13.0,,,,35.0
55,44,Derrick Henry,4,5407928,2828853,2828853,2016,RB,75,247,4.54000000,37.00000000,22.0,130.0,7.20000000,4.38000000,45.0
56,60,Austin Hooper,4,3213428,773428,773428,2016,TE,76,254,4.72000000,33.00000000,19.0,117.0,7.00000000,4.32000000,81.0
57,97,Jordan Howard,4,2588022,248022,248022,2016,RB,72,230,4.57000000,34.00000000,16.0,122.0,,,150.0
58,37,Germain Ifedi,4,8265105,6238046,6238046,2016,OT,78,324,5.27000000,32.50000000,24.0,109.0,,4.75000000,31.0
59,33,William Jackson III,4,9705644,7482147,7482147,2016,CB,72,189,4.37000000,,10.0,116.0,,,24.0
